"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"157","BottomRight",71.4759927456605,0,"2016_0517_111802_039A_Moment2","NoTurtle","LMB","Downstream",NA
"158","TopLeft",-17.7525801879243,35.9735438208502,"2016_0517_111802_039A_Moment2","NoTurtle","LMB","Downstream",NA
"159","TopRight",93.3054347022153,35.9735438208502,"2016_0517_111802_039A_Moment2","NoTurtle","LMB","Downstream",NA
"160","Fish",24.8374847641304,30.8462588577733,"2016_0517_111802_039A_Moment2","NoTurtle","LMB","Downstream",NA
"161","BottomLeft",0,0,"2016_0517_111802_039A_Moment3","NoTurtle","LMB","Upstream",NA
"162","BottomRight",63.4194692583606,0,"2016_0517_111802_039A_Moment3","NoTurtle","LMB","Upstream",NA
"163","TopLeft",-14.9367516194875,34.8750040179639,"2016_0517_111802_039A_Moment3","NoTurtle","LMB","Upstream",NA
"164","TopRight",93.7215775301878,34.8750040179639,"2016_0517_111802_039A_Moment3","NoTurtle","LMB","Upstream",NA
"165","Fish",40.9392268600311,27.7977406294731,"2016_0517_111802_039A_Moment3","NoTurtle","LMB","Upstream",NA
"166","BottomLeft",0,0,"2016_0517_112802_040A_Moment1","NoTurtle","LMB","Downstream",NA
"167","BottomRight",74.6933172354564,0,"2016_0517_112802_040A_Moment1","NoTurtle","LMB","Downstream",NA
"168","TopLeft",-12.9198778239377,32.5673231164785,"2016_0517_112802_040A_Moment1","NoTurtle","LMB","Downstream",NA
"169","TopRight",94.5482388256221,32.5673231164785,"2016_0517_112802_040A_Moment1","NoTurtle","LMB","Downstream",NA
"170","Fish",29.7995708033576,28.2362758512966,"2016_0517_112802_040A_Moment1","NoTurtle","LMB","Downstream",NA
"171","BottomLeft",0,0,"2016_0517_112802_040A_Moment2","NoTurtle","LMB","Upstream",NA
"172","BottomRight",73.7713113498128,0,"2016_0517_112802_040A_Moment2","NoTurtle","LMB","Upstream",NA
"173","TopLeft",-15.4264020840639,38.860336627957,"2016_0517_112802_040A_Moment2","NoTurtle","LMB","Upstream",NA
